"FirstName","LastName","ScopusID","Country","Institution","AuthorName"
"Jonathan","Mant","26643244100","UK","Cambridge","JonathanMant"
"Stephen","Sutton","35235628600","UK","Cambridge","StephenSutton"
"Robbie","Duschinsky","36986651700","UK","Cambridge","RobbieDuschinsky"
"Christi","Deaton","57204081024","UK","Cambridge","ChristiDeaton"
"Stephen","Barclay","7005525927","UK","Cambridge","StephenBarclay"
"Theresa","Marteau","7006758192","UK","Cambridge","TheresaMarteau"
"Fiona","Walter","7103067740","UK","Cambridge","FionaWalter"
"Simon","Griffin","7201880869","UK","Cambridge","SimonGriffin"
"Juliet","UsherSmith","8455034600","UK","Cambridge","JulietUsherSmith"
"Robert","Greenberg","17934532500","USA","Dartmouth","RobertGreenberg"
"AllenJ","Dietrich","19433645800","USA","Dartmouth","AllenJDietrich"
"JohnA","Baron","26642948500","USA","Dartmouth","JohnABaron"
"CathleenE","Morrow","34873010500","USA","Dartmouth","CathleenEMorrow"
"ReneeL","Pepin","35485120300","USA","Dartmouth","ReneeLPepin"
"JohnE","Wennberg","35501693400","USA","Dartmouth","JohnEWennberg"
"Ellen","Flaherty","35846870800","USA","Dartmouth","EllenFlaherty"
"BrantJ","Oliver","36669108900","USA","Dartmouth","BrantJOliver"
"JamesC","Strickler","36938468300","USA","Dartmouth","JamesCStrickler"
"ManishK","Mishra","36998742600","USA","Dartmouth","ManishKMishra"
"FayF","Homan","37001505600","USA","Dartmouth","FayFHoman"
"RichardF","HobbsIII","37031158300","USA","Dartmouth","RichardFHobbsIII"
"JohnW","Kirk","55438702000","USA","Dartmouth","JohnWKirk"
"JohnG","Scott","55477039500","USA","Dartmouth","JohnGScott"
"MaryE","Wood","55568512334","USA","Dartmouth","MaryEWood"
"MarkM","Nunlist","55787159300","USA","Dartmouth","MarkMNunlist"
"JonathanB","Karnes","56368352700","USA","Dartmouth","JonathanBKarnes"
"GeraldT","OConnor","56446368700","USA","Dartmouth","GeraldTOConnor"
"Mark","Harris","56466716700","USA","Dartmouth","MarkHarris"
"JosephV","Henderson","56680583300","USA","Dartmouth","JosephVHenderson"
"Susan","Reeves","56799130200","USA","Dartmouth","SusanReeves"
"JuliaL","McDonald","57199477452","USA","Dartmouth","JuliaLMcDonald"
"WilliamC","Black","57201827080","USA","Dartmouth","WilliamCBlack"
"MeaghanA","Kennedy","57203293635","USA","Dartmouth","MeaghanAKennedy"
"VirginiaA","Reed","57204245941","USA","Dartmouth","VirginiaAReed"
"DanielS","Stadler","57204629953","USA","Dartmouth","DanielSStadler"
"NormanN","Miller","57207226103","USA","Dartmouth","NormanNMiller"
